ticker,Total Return [%],Max Drawdown [%],Sharpe Ratio,Win Rate [%],Total Trades
107640,1771.4273453295662,63.19768122369705,1.0548480435665322,39.47368421052632,38
086520,1438.3241256743956,70.09623260474164,1.067452570714625,28.26086956521739,47
005070,1413.45364709997,43.99756417388634,1.1377633294573122,51.35135135135135,37
042600,1131.2042910049947,38.50178810662,0.9436801842977172,46.15384615384615,39
080220,941.8851750429628,38.24208035640767,0.9871967811896232,34.285714285714285,36
000660,931.1761859696542,20.138155321319186,1.3444999149968233,52.77777777777778,37
099320,916.20626161184,35.36821035745151,1.0213680291395475,53.84615384615385,40
220260,822.4503325477589,46.94388910606029,0.86036470934609,41.935483870967744,31
124500,791.8731087402721,47.57355192508712,0.926047667049038,40.0,36
001530,755.4208629783686,24.20485509093616,1.1561639386284437,47.05882352941176,35
080580,695.3833057376073,52.44673086252405,0.8905799580111716,28.205128205128204,40
089030,649.5657649548752,40.18441761698901,1.0025700795637478,42.85714285714285,42
028300,632.9275719876957,59.35339609903871,0.8224546292214193,32.55813953488372,43
257720,621.5361280379083,52.824658228369245,1.3628068030999063,23.52941176470588,17
298040,550.1311823481982,41.04069489962399,1.1243371962687654,46.42857142857143,28
016710,532.8540904601622,32.23227928163057,1.522483329704629,33.33333333333333,40
002710,504.5565460706077,47.12327342756447,0.7988941409926894,37.83783783783784,37
034020,487.9777156178275,48.8525031622256,0.8583153409926665,44.73684210526316,38
101730,478.1102358357321,57.31103197657489,0.7783231453064956,35.483870967741936,31
065350,464.63026704586593,58.53594014027581,0.7213563130724034,31.70731707317073,42
114190,461.75593076066576,38.539540964213856,0.813710210975067,25.925925925925924,27
005420,421.4921907652308,52.64310528406219,0.766692717266971,31.70731707317073,42
031980,415.11610705696415,51.744515508152574,0.7959574837297781,37.2093023255814,44
088390,411.8837472299048,55.14068938091987,0.751182143160807,36.11111111111111,37
171090,411.0959176452468,52.5154442785994,0.7981511664269304,36.36363636363637,34
036620,401.02783321123,44.42193406420738,0.7293478929155801,45.0,40
084670,393.0019141931377,48.482358532934136,0.7436339323216571,28.125,32
189330,382.4571209338275,68.29753616569874,0.7094299362764975,27.27272727272727,44
322510,380.8500423579948,42.05655731505146,1.0146771016953984,30.0,21
023810,379.5255290584224,34.07607570039264,0.8251144886426158,45.71428571428572,35
168360,378.6929549797062,32.575130290835254,1.4775971172355964,61.53846153846154,13
253590,372.77417142030106,34.25397433217368,0.8362403820017288,41.66666666666667,25
004690,351.8004901836138,19.820051711464533,1.28910041590075,48.57142857142857,36
389470,349.7150168268545,33.906426271982106,1.2572281393108633,50.0,14
082270,343.4160345456347,46.13342186042951,0.7936265762671942,27.27272727272727,34
232140,335.4405257468774,49.29753621151748,0.7359634227707157,31.70731707317073,42
064290,323.5107281569159,41.9814818317298,0.7469865779155125,40.0,36
066970,310.7961560460461,57.36994392504322,0.7168144472567507,43.47826086956522,46
003670,284.4639451458002,52.0529484831298,0.7613381985102421,42.10526315789473,39
000990,275.67150203473994,25.914053389981746,0.7514187030495116,54.761904761904766,42
377030,272.2169742460954,34.271028949317255,1.1373692032593776,60.0,10
123750,264.9018100341819,41.932402568793,0.7146768146335585,43.333333333333336,31
003230,256.0848487604698,38.22571147835888,0.7146584448205182,31.818181818181817,44
049800,244.5878141882204,44.9983136100839,0.7437103496823179,27.27272727272727,34
006800,239.818191332988,43.99454859120135,0.7470622875926516,34.88372093023256,44
247540,232.36130172210184,58.34841828402544,0.828112855850703,41.17647058823529,34
035900,227.61013292526735,55.71192770829273,0.7106822700063726,48.837209302325576,43
216080,220.6317963820013,44.53342562453633,0.90281954154086,42.10526315789473,20
017390,219.79048026849983,31.29002570869225,0.8158077192004647,29.72972972972973,38
389500,216.35059008213068,55.845506675930224,1.1260028579448231,30.76923076923077,13
207940,209.754670525055,23.57552700475968,0.8712944429500102,50.0,32
215200,209.00604439860416,39.30607899280268,0.8038189551535015,46.15384615384615,39
335870,207.41152758514576,51.092607219851615,0.7926177095247442,30.434782608695656,23
402340,199.2808605061556,32.71172192470313,1.187245274856122,31.57894736842105,20
003100,197.8611781206531,41.20445990345657,0.8792088872788165,35.13513513513514,38
004360,197.48993789036376,29.40812586047744,0.8494704450112478,34.375,33
